#SampleID	Description	Unassigned	Other	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia
Plate3-A1	weaned	0.1463414634	0	0	0.2682926829	0	0.5853658537	0	0	0
Plate3-B1	weaned	0.063583815	0	0	0.5144508671	0	0.4046242775	0.0115606936	0.0057803468	0
Plate3-C1	weaned	0.0823244552	0	0	0.4624697337	0	0.4479418886	0.0024213075	0.004842615	0
Plate3-D1	weaned	0.1230207065	0	0	0.5334957369	0	0.3349573691	0.0048721072	0.0036540804	0
Plate3-E1	weaned	0.0135533294	0	0	0.0015714005	0	0.5627578079	0.4221174622	0	0
Plate3-F1	weaned	0.105893186	0	0	0.4732965009	0	0.4189686924	0.0009208103	0.0009208103	0
Plate3-G1	weaned	0.0752212389	0	0	0.5973451327	0	0.3230088496	0	0.0044247788	0
Plate3-H1	weaned	0.152173913	0	0	0.4456521739	0	0.3913043478	0.0054347826	0.0054347826	0
Plate3-A2	weaned	0.037037037	0	0	0.2814814815	0	0.6814814815	0	0	0
Plate3-B2	weaned	0.0895522388	0	0	0.5245202559	0	0.381663113	0.0042643923	0	0
Plate3-C2	weaned	0.1446886447	0	0	0.5073260073	0	0.3461538462	0.0018315018	0	0
Plate3-D2	weaned	0.1172545281	0	0	0.4280266921	0	0.4537654909	0	0.0009532888	0
Plate3-E2	weaned	0.1204873646	0	0	0.4381768953	0	0.4395306859	0.0009025271	0.0009025271	0
Plate3-F2	weaned	0.1121546961	0	0	0.4425414365	0	0.4453038674	0	0	0
Plate3-G2	weaned	0.0953011251	0	0	0.3170086036	0	0.5857048312	0.0006618134	0.0013236267	0
Plate3-H2	weaned	0.092018302	0	0	0.521098119	0	0.3858668022	0.0010167768	0	0
Plate3-A3	weaned	0.0512820513	0	0	0.3333333333	0	0.5641025641	0.0512820513	0	0
Plate3-B3	weaned	0.1078286558	0	0	0.5081240768	0	0.3810930576	0.0029542097	0	0
Plate3-C3	weaned	0.0862262038	0	0	0.5744680851	0	0.3359462486	0.0033594625	0	0
Plate3-D3	weaned	0.1402157165	0	0	0.5038520801	0	0.3482280431	0.0077041602	0	0
Plate3-E3	weaned	0.1195998181	0	0	0.4297407913	0	0.4474761255	0.0022737608	0.0009095043	0
Plate3-F3	weaned	0.1346499102	0	0	0.5547576302	0	0.2998204668	0.0053859964	0.0035906643	0.0017953321
Plate3-G3	weaned	0.1374045802	0	0	0.3664122137	0	0.4936386768	0.0025445293	0	0
Plate3-H3	weaned	0.0933997509	0	0	0.3947696139	0	0.4881693649	0.0062266501	0.0161892902	0.00124533
Plate3-A4	dN, 5 days	0.0641025641	0	0	0.3974358974	0	0.2051282051	0.3076923077	0.0256410256	0
Plate3-B4	dN, 5 days	0.1377576672	0.0015082956	0	0.267471091	0	0.2297637004	0.3237807944	0.0397184515	0
Plate3-C4	dN, 5 days	0.1309751434	0	0	0.1806883365	0	0.293499044	0.3929254302	0.0019120459	0
Plate3-D4	dN, 5 days	0.1417572464	0.0013586957	0	0.2250905797	0	0.1662137681	0.4605978261	0.0049818841	0
Plate3-E4	dN, 5 days	0.0396667989	0	0	0.001190004	0	0.1905989687	0.4926616422	0.2758825863	0
Plate3-F4	dN, 5 days	0.0437262357	0	0	0.0019011407	0	0.5076045627	0.4374524715	0.0093155894	0
Plate3-G4	dN, 5 days	0.0523690773	0	0	0.0005754844	0	0.1283330136	0.3713792442	0.4473431805	0
Plate3-H4	dN, 5 days	0.0275540483	0	0	0.0002119542	0	0.2944044086	0.5061466723	0.1716829165	0
Plate3-A5	dPD, 5 days	0.0739934712	0	0	0.4548422198	0	0.4494015234	0.0065288357	0.0141458107	0.0010881393
Plate3-B5	dPD, 5 days	0.0949088624	0	0	0.4186046512	0	0.4783155248	0.002514142	0.0056568196	0
Plate3-C5	dPD, 5 days	0.0885286783	0	0	0.3684538653	0	0.5311720698	0.0037406484	0.0081047382	0
