	Plate3-C3	Plate4-G2	Plate3-D4	Plate3-B4	Plate3-D7	Plate3-C4	Plate3-H7	Plate4-E1	Plate3-E1	Plate3-F4	Plate3-G7	Plate3-F7	Plate3-E4	Plate3-H4	Plate4-D1	Plate3-D10	Plate3-E7	Plate4-G1	Plate4-F1	Plate3-G10	Plate3-F10	Plate3-E10	Plate3-G4	Plate3-A5	Plate3-C7	Plate3-B10	Plate3-E5	Plate4-B1	Plate3-E3	Plate3-B5	Plate3-G11	Plate3-H3	Plate4-H1	Plate3-H5	Plate4-D2	Plate3-D11	Plate3-G5	Plate3-E8	Plate4-F2	Plate3-H12	Plate3-G3	Plate3-H2	Plate3-D8	Plate3-B8	Plate3-C11	Plate3-B7	Plate3-D3	Plate4-E2	Plate3-C5	Plate4-B2	Plate4-C1	Plate3-H8	Plate4-C2	Plate3-E11	Plate3-F11	Plate3-F1	Plate3-D5	Plate3-F5	Plate3-G2	Plate3-H10	Plate3-C2	Plate3-D2	Plate3-E2	Plate3-C10	Plate3-C1	Plate3-F2	Plate3-F3	Plate3-A8	Plate3-D1	Plate3-H9	Plate3-A11	Plate3-B11	Plate3-C8	Plate3-B3	Plate3-A10	Plate3-B2
Plate3-C3	0.0	0.384009137056	0.509867081218	0.430709086294	0.418903527919	0.550938071066	0.771405101523	0.827753908629	0.647590837563	0.855031040609	0.81800677665	0.779959467005	0.747362893401	0.816868401015	0.825769822335	0.820509162437	0.763761319797	0.832647309645	0.826920786802	0.823127918782	0.820734162437	0.83111177665	0.784621192893	0.35614857868	0.404453654822	0.374460862944	0.353099086294	0.267815380711	0.179365126904	0.360683857868	0.372445	0.220267335025	0.421533705584	0.300294695431	0.394954746193	0.381576040609	0.379877030457	0.385080406091	0.371926243655	0.343078147208	0.260955406091	0.187413350254	0.401976548223	0.392478629442	0.339353883249	0.352217893401	0.157778527919	0.446194898477	0.337301878173	0.408921598985	0.406746040609	0.484551852792	0.340059923858	0.419989187817	0.377219492386	0.20301893401	0.340245837563	0.343824162437	0.296324238579	0.362698375635	0.167562918782	0.240918502538	0.175944137056	0.325485076142	0.187261192893	0.253855913706	0.113303020305	0.336631395939	0.132270888325	0.297742030457	0.427388908629	0.398189213198	0.323400152284	0.119376345178	0.320853375635	0.121683401015
Plate4-G2	0.384009137056	0.0	0.46330428934	0.398449695431	0.389097791878	0.509906649746	0.728195203046	0.617369695431	0.613288959391	0.815879111675	0.770162563452	0.731692258883	0.703297664975	0.767244035533	0.631374543147	0.645838096447	0.721917208122	0.615637309645	0.611755304569	0.667823959391	0.664974314721	0.612147563452	0.737448147208	0.278826649746	0.379223553299	0.312985380711	0.275606142132	0.336630862944	0.359893147208	0.294417563452	0.18096322335	0.356553071066	0.227830050761	0.252040126904	0.140368502538	0.203841827411	0.315870989848	0.29680715736	0.148553299492	0.307648502538	0.371517385787	0.437846497462	0.338163299492	0.334216903553	0.159944035533	0.315672817259	0.378031573604	0.172673629442	0.25925964467	0.187780431472	0.361440862944	0.441694949239	0.168804137056	0.217414771574	0.122228426396	0.379349796954	0.276430862944	0.273636395939	0.352890177665	0.163714568528	0.432220177665	0.392888299492	0.377703527919	0.318152436548	0.316478502538	0.370774238579	0.368375558376	0.28306784264	0.383212055838	0.295169898477	0.214860177665	0.234053781726	0.282226243655	0.385006700508	0.280765558376	0.377149898477
Plate3-D4	0.509867081218	0.46330428934	0.0	0.180215050761	0.146640558376	0.21930215736	0.417905989848	0.468007994924	0.319282335025	0.504959187817	0.473468477157	0.417708883249	0.379456370558	0.46738106599	0.459601522843	0.462351573604	0.416805761421	0.465748756345	0.470787766497	0.461781852792	0.476714543147	0.465825507614	0.490237360406	0.441237436548	0.223763375635	0.25574286802	0.404802411168	0.42619642132	0.464805609137	0.421268908629	0.436345583756	0.467012690355	0.469531700508	0.452021167513	0.427840558376	0.405464949239	0.374968274112	0.367363832487	0.478253071066	0.38550248731	0.486673959391	0.533976928934	0.367582614213	0.353464086294	0.466321319797	0.262853299492	0.486610634518	0.437983096447	0.424163324873	0.42164751269	0.357460736041	0.220211218274	0.454875989848	0.471085812183	0.460639873096	0.477165659898	0.397928299492	0.412721040609	0.431940913706	0.45600428934	0.532181319797	0.486400913706	0.466409441624	0.334440025381	0.456234923858	0.460124974619	0.52454319797	0.369935076142	0.51907177665	0.317436725888	0.467982994924	0.458135888325	0.398563984772	0.489674340102	0.351991269036	0.477849517766
Plate3-B4	0.430709086294	0.398449695431	0.180215050761	0.0	0.131098705584	0.22972786802	0.474472461929	0.523742741117	0.379577538071	0.578203477157	0.52429464467	0.473523324873	0.438556294416	0.52071215736	0.516749010152	0.515134238579	0.463049187817	0.523031725888	0.523501954315	0.514561269036	0.524816903553	0.523120304569	0.490388654822	0.39965319797	0.225241269036	0.242594416244	0.36065680203	0.351895025381	0.379002588832	0.391523908629	0.346393680203	0.360006370558	0.38737680203	0.353757436548	0.389440329949	0.307179847716	0.340806928934	0.329084416244	0.408610253807	0.324608299492	0.399962664975	0.440558121827	0.317639187817	0.32127964467	0.379050076142	0.237897893401	0.392544720812	0.368018604061	0.368557005076	0.334185507614	0.331310304569	0.180684898477	0.375776573604	0.360694162437	0.380628680203	0.381219695431	0.349116700508	0.380810609137	0.343697639594	0.381123756345	0.442793629442	0.390677741117	0.365170685279	0.296443451777	0.373269111675	0.367810177665	0.439073730964	0.290989263959	0.426919365482	0.270124822335	0.356567284264	0.332442309645	0.331367563452	0.401208984772	0.303162005076	0.385452081218
Plate3-D7	0.418903527919	0.389097791878	0.146640558376	0.131098705584	0.0	0.216657944162	0.49676142132	0.544566319797	0.388171167513	0.57215893401	0.530814010152	0.486043045685	0.467078147208	0.542598375635	0.544255583756	0.541513959391	0.486604137056	0.551110685279	0.550035989848	0.542031751269	0.545290736041	0.550890177665	0.53122071066	0.385554340102	0.204444898477	0.215375507614	0.354161751269	0.348696573604	0.380822918782	0.378307994924	0.359274263959	0.392750152284	0.402333680203	0.372472944162	0.370739137056	0.326810279188	0.327014111675	0.317287385787	0.402944187817	0.31045	0.403462081218	0.454744238579	0.350046319797	0.341192411168	0.384395177665	0.213613756345	0.399566269036	0.375363096447	0.359112817259	0.356709898477	0.315629822335	0.235528121827	0.37101284264	0.402688350254	0.384375050761	0.393517081218	0.343966928934	0.366893172589	0.356959796954	0.376574796954	0.449841573604	0.413085634518	0.381505989848	0.289456167513	0.372283857868	0.371886903553	0.435220862944	0.30235928934	0.432491522843	0.245187639594	0.388795583756	0.383240050761	0.314386218274	0.407100482234	0.29079071066	0.394054086294
Plate3-C4	0.550938071066	0.509906649746	0.21930215736	0.22972786802	0.216657944162	0.0	0.436814390863	0.450183705584	0.331550634518	0.432657081218	0.410821852792	0.346876167513	0.39866822335	0.435115456853	0.451011294416	0.448030583756	0.433145482234	0.456583248731	0.45411642132	0.450153705584	0.449472639594	0.455219543147	0.47861784264	0.500399035533	0.300597563452	0.363243807107	0.46665142132	0.488298121827	0.517651015228	0.497225025381	0.471491040609	0.459727690355	0.495061218274	0.505501497462	0.481815253807	0.436526700508	0.423300685279	0.381969898477	0.532846751269	0.456573121827	0.471756269036	0.51908248731	0.407925888325	0.425139796954	0.504035507614	0.336188908629	0.521761675127	0.457332817259	0.477225634518	0.438996218274	0.429163705584	0.266271751269	0.492125	0.466990609137	0.49884071066	0.50103964467	0.467118680203	0.483181370558	0.427032817259	0.507096040609	0.556640177665	0.478567994924	0.484022766497	0.416366903553	0.480094390863	0.488539822335	0.561828705584	0.399890177665	0.547682360406	0.388167411168	0.492968045685	0.468442563452	0.443493147208	0.527245025381	0.438044187817	0.525997563452
Plate3-H7	0.771405101523	0.728195203046	0.417905989848	0.474472461929	0.49676142132	0.436814390863	0.0	0.367635659898	0.287009543147	0.445056294416	0.173145380711	0.249801218274	0.0778874365482	0.290727208122	0.252315329949	0.222618781726	0.0509448477157	0.28394357868	0.319289695431	0.205353477157	0.173184086294	0.325655152284	0.148504314721	0.70092713198	0.542460939086	0.585742208122	0.678966522843	0.708634746193	0.724090482234	0.697070989848	0.698988020305	0.674118730964	0.717293477157	0.706065025381	0.697672233503	0.677880025381	0.654976243655	0.656337335025	0.767764238579	0.692037258883	0.704916700508	0.742553730964	0.610672461929	0.604233527919	0.726773908629	0.570650964467	0.731011345178	0.693417563452	0.674851294416	0.683784314721	0.61185464467	0.398631167513	0.721812182741	0.691782411168	0.727160583756	0.719966878173	0.66549251269	0.683442411168	0.648559593909	0.738115406091	0.768715989848	0.705018172589	0.702909796954	0.608762258883	0.708110609137	0.698065329949	0.780070558376	0.629746598985	0.774393654822	0.625383680203	0.686539492386	0.688516345178	0.674874137056	0.728384746193	0.647303401015	0.732848299492
Plate4-E1	0.827753908629	0.617369695431	0.468007994924	0.523742741117	0.544566319797	0.450183705584	0.367635659898	0.0	0.338834035533	0.423094898477	0.439854593909	0.316845456853	0.333016497462	0.390856015228	0.147539517766	0.175224543147	0.396592385787	0.113415025381	0.079853680203	0.209064771574	0.316622385787	0.117234771574	0.459742055838	0.776036548223	0.583955228426	0.639050507614	0.752450761421	0.753578426396	0.781130203046	0.769389746193	0.611796370558	0.731276827411	0.564155482234	0.767509974619	0.571472055838	0.641953807107	0.737990025381	0.729371319797	0.615188832487	0.766182258883	0.761878908629	0.799794873096	0.682536091371	0.679547664975	0.634360025381	0.626213071066	0.79079	0.542977690355	0.752734720812	0.598887741117	0.698640812183	0.494145507614	0.634125456853	0.621843299492	0.60287142132	0.778282944162	0.732735736041	0.755311167513	0.706394340102	0.655745431472	0.824218299492	0.76309713198	0.760008248731	0.675207563452	0.765819111675	0.757027284264	0.832915761421	0.695308553299	0.831203883249	0.680957664975	0.624705761421	0.632719162437	0.753603096447	0.788097817259	0.71456606599	0.789912690355
Plate3-E1	0.647590837563	0.613288959391	0.319282335025	0.379577538071	0.388171167513	0.331550634518	0.287009543147	0.338834035533	0.0	0.35217142132	0.351265076142	0.279783553299	0.229766319797	0.331742944162	0.334285837563	0.338260558376	0.278850532995	0.343988401015	0.340437766497	0.339055101523	0.346643477157	0.338457030457	0.334486345178	0.594949213198	0.434494238579	0.472085558376	0.562877639594	0.586646573604	0.602732461929	0.595421649746	0.594473045685	0.541242994924	0.605766928934	0.599364010152	0.575096446701	0.571003680203	0.561036751269	0.555778451777	0.648666472081	0.592010406091	0.574498680203	0.611971598985	0.525892461929	0.520100786802	0.617080558376	0.456356497462	0.613278807107	0.577510558376	0.576776725888	0.570204873096	0.537871142132	0.357663553299	0.598531269036	0.598771598985	0.61465286802	0.566071395939	0.562765253807	0.57263322335	0.489167258883	0.636691954315	0.645916903553	0.547675482234	0.573868984772	0.50401784264	0.57834715736	0.579442741117	0.656608375635	0.528459695431	0.649474213198	0.512010329949	0.60818071066	0.594269949239	0.56963464467	0.608727639594	0.543620456853	0.605896675127
Plate3-F4	0.855031040609	0.815879111675	0.504959187817	0.578203477157	0.57215893401	0.432657081218	0.445056294416	0.423094898477	0.35217142132	0.0	0.404377360406	0.271647208122	0.406591192893	0.349134568528	0.449956192893	0.450047360406	0.44663535533	0.453540736041	0.440627055838	0.456807233503	0.492137284264	0.446785558376	0.49481071066	0.802412664975	0.612227690355	0.681261903553	0.775925964467	0.792181700508	0.818849923858	0.801514086294	0.799296903553	0.752711218274	0.799000989848	0.813691878173	0.783978426396	0.773498096447	0.755772944162	0.747706675127	0.857954593909	0.795672284264	0.764536954315	0.812761294416	0.706213071066	0.719733883249	0.823183756345	0.661482994924	0.822630685279	0.773915837563	0.784845050761	0.773345786802	0.730681751269	0.556128172589	0.807415989848	0.800029568528	0.816788857868	0.800394746193	0.769880076142	0.785865456853	0.703826649746	0.840876116751	0.860722791878	0.764989949239	0.789243654822	0.715128451777	0.77289964467	0.793506142132	0.860511116751	0.728748781726	0.857425634518	0.717104137056	0.809731675127	0.795273045685	0.777550380711	0.822690076142	0.753632385787	0.82145428934
